time,low,high,open,close,volume
2022-01-01 01:00:00,41022.31,41333.46,41090.37,41214.76,13.92650202
2022-01-01 02:00:00,41173.5,41338.63,41214.62,41241.12,11.37455954
2022-01-01 03:00:00,41196.65,41316.89,41249.52,41230.15,11.58786166
2022-01-01 04:00:00,41063.69,41282.21,41227.91,41131.0,6.44517075
2022-01-01 05:00:00,41096.5,41856.83,41128.3,41553.13,20.70570545
2022-01-01 06:00:00,41337.33,41670.16,41566.25,41369.45,11.46051032
2022-01-01 07:00:00,41309.94,41616.62,41370.03,41588.09,9.12357045
2022-01-01 08:00:00,41462.62,41697.23,41576.68,41499.63,11.68713915
2022-01-01 09:00:00,41341.42,41578.5,41506.82,41518.38,10.80105346
2022-01-01 10:00:00,41152.2,41660.41,41512.56,41283.94,25.00584723
2022-01-01 11:00:00,41167.75,41396.53,41292.84,41192.71,24.50142963
2022-01-01 12:00:00,41194.71,41537.02,41197.01,41485.52,17.72576249
2022-01-01 13:00:00,41368.13,41585.3,41490.71,41437.97,20.34518263
2022-01-01 14:00:00,41277.63,41503.57,41431.94,41339.29,15.85607771
2022-01-01 15:00:00,41300.0,41818.72,41331.51,41593.38,21.46522842
2022-01-01 16:00:00,41567.91,41858.36,41589.91,41657.02,15.56096631
2022-01-01 17:00:00,41619.01,42226.86,41657.02,42044.93,44.41225468
2022-01-01 18:00:00,41753.63,42113.58,42048.54,41884.49,47.25027178
2022-01-01 19:00:00,41640.93,41923.81,41884.14,41687.48,23.58282824
2022-01-01 20:00:00,41619.46,41905.07,41685.55,41753.66,18.12953675
2022-01-01 21:00:00,41635.6,41888.12,41752.69,41683.31,16.85591542
2022-01-01 22:00:00,41600.72,41820.14,41683.54,41778.22,14.15668783
2022-01-01 23:00:00,41645.04,42094.23,41778.29,42024.88,18.83137524
2022-01-02 00:00:00,41725.06,42041.78,42013.43,41939.68,22.12811187
2022-01-02 01:00:00,41661.6,41950.08,41941.82,41714.84,12.25862288
2022-01-02 02:00:00,41643.16,41781.8,41715.6,41708.07,11.84627866
2022-01-02 03:00:00,41624.59,41787.51,41709.93,41680.21,7.20536194
2022-01-02 04:00:00,41181.09,41752.83,41674.72,41294.01,34.27297305
2022-01-02 05:00:00,41248.51,41458.95,41301.47,41440.62,25.64728349
2022-01-02 06:00:00,41388.64,41588.97,41443.29,41494.4,12.15160591
2022-01-02 07:00:00,41463.48,41645.26,41487.1,41546.83,11.5082945
2022-01-02 08:00:00,41369.94,41600.0,41544.83,41581.95,14.1669534
2022-01-02 09:00:00,41524.15,41830.14,41582.72,41637.55,24.71953737
2022-01-02 10:00:00,41521.66,41699.47,41633.51,41551.4,11.60441576
2022-01-02 11:00:00,41531.02,41736.93,41555.47,41608.19,18.69828361
2022-01-02 12:00:00,41417.23,41794.15,41603.16,41664.29,26.09350126
2022-01-02 13:00:00,41477.99,41670.77,41659.18,41522.87,16.22027477
2022-01-02 14:00:00,41352.71,41580.82,41522.43,41502.8,23.68988229
2022-01-02 15:00:00,41464.48,41739.1,41499.84,41704.07,21.34476889
2022-01-02 16:00:00,41647.88,42166.46,41699.79,42091.95,47.4563671
2022-01-02 17:00:00,41689.8,42257.24,42096.51,41756.62,43.43863304
2022-01-02 18:00:00,41066.46,41752.73,41752.73,41455.72,52.79344874
2022-01-02 19:00:00,41250.0,41584.61,41442.05,41314.4,29.349572
2022-01-02 20:00:00,41242.51,41439.78,41316.79,41401.65,17.05097127
2022-01-02 21:00:00,41321.36,41550.86,41393.53,41404.54,40.8932088
2022-01-02 22:00:00,41394.44,41737.36,41405.65,41623.9,17.80843929
2022-01-02 23:00:00,41617.87,41809.87,41624.02,41650.43,31.46048692
2022-01-03 00:00:00,41452.68,41645.0,41635.86,41461.73,17.46595951
2022-01-03 01:00:00,41353.0,41528.54,41456.22,41518.18,22.31774897
2022-01-03 02:00:00,41321.12,41511.68,41511.68,41458.13,15.99016195
2022-01-03 03:00:00,41201.0,41526.53,41450.6,41255.38,14.83066906
2022-01-03 04:00:00,41229.29,41402.07,41260.46,41312.69,8.0992159
2022-01-03 05:00:00,41264.78,41656.81,41311.46,41549.6,12.97683217
2022-01-03 06:00:00,41355.52,41563.44,41556.44,41398.12,12.80131298
2022-01-03 07:00:00,41330.19,41560.01,41385.39,41499.03,20.72611218
2022-01-03 08:00:00,41405.3,41593.15,41506.57,41433.72,25.14339817
2022-01-03 09:00:00,41239.93,41537.1,41439.7,41411.49,43.36348784
2022-01-03 10:00:00,41410.14,41633.05,41412.67,41526.54,32.64315633
2022-01-03 11:00:00,41522.25,41802.05,41522.25,41750.61,25.20938439
2022-01-03 12:00:00,41568.88,41923.25,41752.19,41581.35,34.87279564
2022-01-03 13:00:00,41538.64,41737.41,41576.75,41559.17,40.02102879
2022-01-03 14:00:00,41355.57,41757.06,41560.02,41457.8,51.2984298
2022-01-03 15:00:00,41257.7,41596.7,41464.93,41352.89,36.63769653
2022-01-03 16:00:00,40995.0,41424.15,41352.87,41194.98,60.01662566
2022-01-03 17:00:00,41144.04,41496.28,41180.7,41297.56,31.25267997
2022-01-03 18:00:00,41117.6,41426.8,41288.94,41163.75,26.46736271
2022-01-03 19:00:00,41075.53,41319.93,41161.42,41075.53,22.0673043
2022-01-03 20:00:00,40482.74,41111.53,41072.78,40675.76,96.57075151
2022-01-03 21:00:00,40582.44,40992.3,40677.09,40734.28,41.62991032
2022-01-03 22:00:00,40717.32,41146.81,40738.61,40937.46,20.63605333
2022-01-03 23:00:00,40904.72,41233.45,40946.5,41123.69,23.87081379
2022-01-04 00:00:00,40850.97,41192.02,41123.26,40923.1,26.11251043
2022-01-04 01:00:00,40756.3,41058.71,40922.32,40763.68,12.03295395
2022-01-04 02:00:00,40657.75,40928.77,40762.82,40807.73,21.01674238
2022-01-04 03:00:00,40725.94,41059.01,40802.61,41008.95,20.14762483
2022-01-04 04:00:00,40728.63,41083.45,41002.72,40803.72,16.36131996
2022-01-04 05:00:00,40734.45,40979.28,40805.6,40843.0,17.86003221
2022-01-04 06:00:00,40776.87,41099.71,40848.02,41085.68,36.8871464
2022-01-04 07:00:00,41051.71,41295.56,41059.82,41248.68,25.21552855
2022-01-04 08:00:00,41116.22,41360.02,41251.07,41199.08,39.69632957
2022-01-04 09:00:00,40975.69,41283.49,41207.29,41040.56,34.32822679
2022-01-04 10:00:00,40980.93,41404.16,41042.85,41304.33,48.84343119
2022-01-04 11:00:00,41304.84,41458.01,41308.7,41457.94,41.64498158
2022-01-04 12:00:00,41218.55,41483.77,41452.72,41380.08,42.93107249
2022-01-04 13:00:00,41164.09,41750.92,41372.52,41637.07,58.56964953
2022-01-04 14:00:00,41508.21,42075.0,41640.01,41956.36,58.91488272
2022-01-04 15:00:00,41421.64,42100.0,41952.27,41490.04,76.31445594
2022-01-04 16:00:00,41272.69,41523.88,41484.67,41415.17,52.70526999
2022-01-04 17:00:00,41210.98,41614.7,41415.82,41228.52,25.66765797
2022-01-04 18:00:00,40370.71,41393.7,41224.72,40565.24,93.03067781
2022-01-04 19:00:00,40423.0,41187.61,40562.56,40801.94,76.15854022
2022-01-04 20:00:00,40729.04,41172.97,40801.64,41010.84,36.04320716
2022-01-04 21:00:00,40792.65,41055.59,41010.59,40962.97,26.73538465
2022-01-04 22:00:00,40753.27,40985.61,40972.56,40896.76,24.22528378
2022-01-04 23:00:00,40548.58,40902.71,40893.63,40636.22,44.69847317
2022-01-05 00:00:00,40528.0,41059.06,40623.36,41042.82,34.41218349
2022-01-05 01:00:00,40873.0,41084.34,41042.82,40876.2,23.98310701
2022-01-05 02:00:00,40874.73,41115.16,40876.2,41021.15,20.80241347
2022-01-05 03:00:00,41016.09,41234.98,41019.7,41120.14,22.91885071
2022-01-05 04:00:00,41071.01,41219.53,41123.2,41125.41,12.72164738
2022-01-05 05:00:00,40977.1,41126.51,41126.51,41021.92,14.45308973
2022-01-05 06:00:00,40973.47,41159.74,41016.65,41150.41,15.58066593
